eval - WARNING - step 0: train loss 9.478227, val loss 9.470964, lr 0.000000, mfu -100.00%
eval - WARNING - step 3500: train loss 1.094967, val loss 1.091225, lr 0.000300, mfu 81.70%
eval - WARNING - step 3600: train loss 1.093237, val loss 1.095068, lr 0.000300, mfu 81.68%
eval - WARNING - step 3700: train loss 1.081169, val loss 1.080290, lr 0.000300, mfu 81.70%
eval - WARNING - step 3800: train loss 1.070095, val loss 1.072470, lr 0.000300, mfu 81.76%
eval - WARNING - step 3900: train loss 1.069891, val loss 1.079472, lr 0.000300, mfu 81.74%
eval - WARNING - step 4000: train loss 1.071137, val loss 1.086030, lr 0.000300, mfu 81.76%
eval - WARNING - step 4100: train loss 1.068522, val loss 1.064874, lr 0.000300, mfu 81.69%
eval - WARNING - step 4200: train loss 1.066651, val loss 1.072031, lr 0.000300, mfu 81.68%
eval - WARNING - step 4300: train loss 1.065153, val loss 1.064517, lr 0.000300, mfu 81.67%
eval - WARNING - step 4400: train loss 1.063417, val loss 1.065507, lr 0.000300, mfu 81.78%
eval - WARNING - step 4500: train loss 1.066561, val loss 1.059926, lr 0.000300, mfu 81.81%
eval - WARNING - step 4600: train loss 1.054512, val loss 1.057221, lr 0.000300, mfu 81.78%
eval - WARNING - step 4700: train loss 1.056296, val loss 1.051924, lr 0.000300, mfu 81.80%
eval - WARNING - step 4800: train loss 1.049803, val loss 1.071024, lr 0.000300, mfu 81.79%
eval - WARNING - step 4900: train loss 1.060421, val loss 1.056504, lr 0.000300, mfu 81.83%
eval - WARNING - step 5000: train loss 1.055813, val loss 1.051302, lr 0.000300, mfu 81.80%
eval - WARNING - step 5100: train loss 1.045484, val loss 1.056919, lr 0.000300, mfu 81.83%
eval - WARNING - step 5200: train loss 1.042298, val loss 1.052957, lr 0.000300, mfu 81.84%
eval - WARNING - step 5300: train loss 1.038086, val loss 1.048315, lr 0.000300, mfu 81.84%
eval - WARNING - step 5400: train loss 1.048248, val loss 1.039922, lr 0.000299, mfu 81.80%
eval - WARNING - step 5500: train loss 1.044488, val loss 1.047889, lr 0.000299, mfu 81.83%
eval - WARNING - step 5600: train loss 1.042830, val loss 1.032376, lr 0.000299, mfu 81.89%
eval - WARNING - step 5700: train loss 1.039627, val loss 1.049269, lr 0.000299, mfu 81.83%
eval - WARNING - step 5800: train loss 1.042669, val loss 1.038221, lr 0.000299, mfu 81.86%
eval - WARNING - step 5900: train loss 1.038247, val loss 1.042349, lr 0.000299, mfu 81.87%
eval - WARNING - step 6000: train loss 1.035954, val loss 1.049999, lr 0.000299, mfu 81.89%
eval - WARNING - step 6100: train loss 1.031925, val loss 1.036248, lr 0.000299, mfu 81.93%
eval - WARNING - step 6200: train loss 1.026992, val loss 1.036748, lr 0.000299, mfu 81.94%
eval - WARNING - step 6300: train loss 1.040348, val loss 1.037967, lr 0.000299, mfu 81.90%
eval - WARNING - step 6400: train loss 1.034196, val loss 1.030255, lr 0.000299, mfu 81.80%
eval - WARNING - step 6500: train loss 1.036132, val loss 1.033716, lr 0.000299, mfu 81.85%
eval - WARNING - step 6600: train loss 1.016682, val loss 1.021198, lr 0.000299, mfu 81.89%
eval - WARNING - step 6700: train loss 1.030062, val loss 1.023964, lr 0.000299, mfu 81.88%
eval - WARNING - step 6800: train loss 1.023502, val loss 1.017729, lr 0.000299, mfu 81.91%
eval - WARNING - step 6900: train loss 1.023562, val loss 1.025195, lr 0.000299, mfu 81.88%
eval - WARNING - step 7000: train loss 1.027013, val loss 1.021185, lr 0.000299, mfu 81.85%
eval - WARNING - step 7100: train loss 1.025834, val loss 1.019711, lr 0.000299, mfu 81.91%
eval - WARNING - step 7200: train loss 1.022928, val loss 1.034117, lr 0.000299, mfu 81.88%
eval - WARNING - step 7300: train loss 1.012663, val loss 1.029001, lr 0.000299, mfu 81.86%
eval - WARNING - step 7400: train loss 1.024669, val loss 1.027657, lr 0.000299, mfu 81.84%
eval - WARNING - step 7500: train loss 1.017236, val loss 1.017999, lr 0.000299, mfu 81.90%
eval - WARNING - step 7600: train loss 1.025118, val loss 1.022449, lr 0.000299, mfu 81.92%
eval - WARNING - step 7700: train loss 1.025379, val loss 1.025934, lr 0.000299, mfu 81.88%
eval - WARNING - step 7800: train loss 1.014510, val loss 1.016641, lr 0.000299, mfu 81.87%
eval - WARNING - step 7900: train loss 1.012411, val loss 1.023137, lr 0.000299, mfu 81.87%
eval - WARNING - step 8000: train loss 1.017005, val loss 1.013030, lr 0.000299, mfu 81.86%
eval - WARNING - step 8100: train loss 1.015025, val loss 1.017892, lr 0.000299, mfu 81.88%
eval - WARNING - step 8200: train loss 1.004095, val loss 1.012575, lr 0.000299, mfu 81.89%
eval - WARNING - step 8300: train loss 1.004358, val loss 1.008828, lr 0.000299, mfu 81.87%
eval - WARNING - step 8400: train loss 1.011627, val loss 1.016147, lr 0.000299, mfu 81.86%
eval - WARNING - step 8500: train loss 1.010401, val loss 1.014424, lr 0.000299, mfu 81.83%
eval - WARNING - step 8600: train loss 1.009969, val loss 1.014661, lr 0.000298, mfu 81.77%
eval - WARNING - step 8700: train loss 1.007197, val loss 1.009264, lr 0.000298, mfu 81.80%
eval - WARNING - step 8800: train loss 1.008703, val loss 1.008275, lr 0.000298, mfu 81.83%
eval - WARNING - step 8900: train loss 1.013437, val loss 1.015127, lr 0.000298, mfu 81.84%
eval - WARNING - step 9000: train loss 1.008220, val loss 1.011093, lr 0.000298, mfu 81.80%
eval - WARNING - step 9100: train loss 1.005973, val loss 1.012443, lr 0.000298, mfu 81.76%
eval - WARNING - step 9200: train loss 1.002168, val loss 1.005014, lr 0.000298, mfu 81.78%
eval - WARNING - step 9300: train loss 1.014806, val loss 1.003537, lr 0.000298, mfu 81.80%
eval - WARNING - step 9400: train loss 0.995789, val loss 1.000896, lr 0.000298, mfu 81.80%
eval - WARNING - step 9500: train loss 1.004321, val loss 1.008446, lr 0.000298, mfu 81.79%
eval - WARNING - step 9600: train loss 1.014168, val loss 1.003599, lr 0.000298, mfu 81.79%
eval - WARNING - step 9700: train loss 1.000201, val loss 1.010360, lr 0.000298, mfu 81.71%
eval - WARNING - step 9800: train loss 1.001321, val loss 1.005710, lr 0.000298, mfu 81.67%
eval - WARNING - step 9900: train loss 0.999255, val loss 0.998004, lr 0.000298, mfu 81.76%
eval - WARNING - step 10000: train loss 0.997422, val loss 0.998012, lr 0.000298, mfu 81.75%
eval - WARNING - step 10100: train loss 0.999539, val loss 1.004829, lr 0.000298, mfu 81.73%
eval - WARNING - step 10200: train loss 0.993797, val loss 1.002724, lr 0.000298, mfu 81.74%
eval - WARNING - step 10300: train loss 0.995299, val loss 1.002227, lr 0.000298, mfu 81.68%
eval - WARNING - step 10400: train loss 1.001728, val loss 0.997690, lr 0.000298, mfu 81.69%
eval - WARNING - step 10500: train loss 0.993263, val loss 0.993481, lr 0.000298, mfu 81.74%
eval - WARNING - step 10600: train loss 0.997670, val loss 1.002369, lr 0.000298, mfu 81.67%
eval - WARNING - step 10700: train loss 1.001268, val loss 1.001517, lr 0.000297, mfu 81.67%
eval - WARNING - step 10800: train loss 0.997424, val loss 0.994278, lr 0.000297, mfu 81.67%
eval - WARNING - step 10900: train loss 0.989159, val loss 0.988657, lr 0.000297, mfu 81.62%
eval - WARNING - step 11000: train loss 0.991251, val loss 0.994985, lr 0.000297, mfu 81.63%
eval - WARNING - step 11100: train loss 0.993707, val loss 0.984747, lr 0.000297, mfu 81.64%
eval - WARNING - step 11200: train loss 0.986132, val loss 0.980661, lr 0.000297, mfu 81.60%
eval - WARNING - step 11300: train loss 0.994055, val loss 0.996048, lr 0.000297, mfu 81.67%
eval - WARNING - step 11400: train loss 0.995661, val loss 0.991254, lr 0.000297, mfu 81.63%
eval - WARNING - step 11500: train loss 0.997786, val loss 0.990542, lr 0.000297, mfu 81.51%
eval - WARNING - step 11600: train loss 0.989892, val loss 0.988986, lr 0.000297, mfu 81.57%
eval - WARNING - step 11700: train loss 0.987359, val loss 0.997604, lr 0.000297, mfu 81.66%
